,segment,int,slope,R2,Tac,Tac_sd,RH,RH_sd,mols_per_sec,TreeID,sp,lichen,apex_dist,fresh_mass,dry_mass,length_counted_lenticel,n_lenticels,lenticel_diam1,lenticel_diam2,lenticel_diam3,lenticel_diam4,lenticel_diam5,lenticel_diam6,lenticel_diam7,lenticel_diam8,lenticel_diam9,lenticel_diam10,exposed_length,total_length,basal_diam1,basal_diam2,basal_xylem_diam1,basal_xylem_diam2,basal_pith_diam1,basal_pith_diam2,distal_diam1,distal_diam2,distal_xylem_diam1,distal_xylem_diam2,distal_pith_diam1,distal_pith_diam2,treatment,sampleID,diam,wood_diam,sa,bark_thickness,vol,water_content,density,lenticel_size,LD,bark_thickness_ratio,E,deltaT,Tsc,wi,w0,deltaw,gbark,gbark_org,deltags%
95,020D,3.005967924,-0.028256255,0.99301,40.079437,1.014433996,24.745859,1.64559001,4.36E-07,20,PE,0,74,2.8357,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.24,64.16,7.23,7.02,5.86,5.49,0.53,0.89,6.61,6.34,4.9,5.23,0.82,0.76,45C,020D,6.8,5.37,0.001030543,0.715,741.6896,0.002003129,0.001820168,NA,NA,0.105147059,0.422770821,0.06828436,40.01115264,0.072941832,0.01811589,0.054825942,7.711145548,7.627034246,1.102804829
96,021D,3.156223627,-0.025998681,0.99829,41.04978415,1.937031783,23.73912021,1.740144044,4.01E-07,21,LS,0,46,2.9817,1.4641,26.12,29,1.14,1.91,1.74,1.38,1.56,1.46,1.22,1.05,1.26,0.94,47.29,58.16,7.45,8.22,6.09,6,1.05,1.03,7.28,7.14,6.2,6.01,1.19,1.32,45C,021D,7.5225,6.075,0.001117587,0.72375,822.7896109,0.001844457,0.001779434,1.366,0.147591936,0.096211366,0.358695896,0.060935347,40.9888488,0.076830056,0.018297687,0.058532369,6.12816293,6.033312727,1.572108182
97,022D,2.139846513,-0.013693014,0.99306,40.80015464,0.288263512,24.28808144,0.498878646,2.11E-07,22,LS,0,47,1.9841,1.0133,33.38,17,1.01,0.92,0.65,0.76,0.65,0.72,0.45,1.24,0.56,0.9,51.04,69.09,7.33,6.99,5.88,5.28,1.77,1.16,6.04,5.91,4.6,5.1,1.19,0.83,45C,022D,6.5675,5.215,0.001053078,0.67625,744.9984416,0.00130309,0.001360137,0.786,0.077546555,0.102969166,0.200491015,0.031824145,40.76833049,0.075937798,0.018474974,0.057462824,3.489056106,3.467564223,0.619797691
98,023D,5.638886126,-0.019541858,0.99654,40.31897309,1.290395776,23.24980091,1.339103467,3.01E-07,23,MG,0,49,5.4613,2.8034,30.4,20,1.39,1.31,1.88,1.36,1.22,1.4,1.67,1.14,1.57,1.12,57.18,79.48,10.31,10.18,8.68,8.35,1.31,1.23,9.96,9.86,8.32,8.35,1.11,1.59,45C,023D,10.0775,8.425,0.001810284,0.82625,2017.917844,0.00131715,0.001389254,1.406,0.065283526,0.081989581,0.166446824,0.032727565,40.28624553,0.074018283,0.017239089,0.056779194,2.931475655,2.904514676,0.928243855
99,024D,2.952007628,-0.014974082,0.99794,40.12709944,1.353851221,23.29967444,1.475543584,2.31E-07,24,LS,0.5,72,2.7359,1.3207,25.42,14,0.56,0.22,0.39,0.56,0.69,0.95,0.98,1.04,0.76,0.5,42.42,72.32,7.67,7.32,6.3,6.31,1.44,2.93,6.66,6.76,5.33,5.71,1.96,1.51,45C,024D,7.1025,5.9125,0.000946524,0.595,912.054753,0.001551661,0.001448049,0.665,0.077542759,0.083773319,0.243929827,0.040265427,40.08683402,0.07323662,0.017100535,0.056136086,4.345330176,4.301156455,1.027019627
100,025D,3.298068858,-0.01165741,0.99816,42.07683158,1.896797602,21.56983684,1.678161235,1.80E-07,25,LS,0.4,81,3.0857,1.6091,29.01,17,0.92,1.18,0.91,1.24,1.2,1.51,1.47,1.36,1.12,1,41.03,53.11,9.76,9.47,7.21,6.98,2.67,3.04,8.36,8.33,6.95,6.4,1.61,1.49,45C,025D,8.98,6.885,0.001157518,1.0475,1070.702911,0.001379094,0.001502845,1.191,0.065256662,0.116648107,0.155285477,0.028822443,42.04800914,0.081242822,0.017550491,0.063692331,2.438056135,2.408051791,1.246000776
101,001E,4.458617575,-0.017893073,0.99932,55.11831039,0.093573297,11.3848987,0.112724523,2.76E-07,1,CC,0.9,102,4.1748,2.6878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.45,71.77,9.26,9.17,7.57,7.19,1.47,1.18,7.95,8.08,6.49,6.77,0.8,0.78,55C,001E,8.615,7.005,0.001148902,0.805,1331.660502,0.001116651,0.002018382,NA,NA,0.093441672,0.24013672,0.170256116,54.94805427,0.155201257,0.01781419,0.137387067,1.747884467,1.720969169,1.563961661
102,002E,4.888908396,-0.027007289,0.99459,55.39029467,0.118348431,12.37398667,0.214849824,4.16E-07,2,CC,0.05,103,4.6583,2.8312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.84,67.1,9.25,9.9,7.56,7.95,0.92,1,8.82,9.48,7.24,6.94,0.73,0.65,55C,002E,9.3625,7.4225,0.001436539,0.97,1470.436215,0.001242556,0.001925415,NA,NA,0.103604806,0.289881241,0.214255773,55.17603889,0.156905015,0.019615332,0.137289682,2.111456857,2.073622585,1.824549572
103,003E,3.323295333,-0.033600781,0.99865,55.20752413,0.111420797,12.09459867,0.347302179,5.18E-07,3,CC,0.8,131,3.1561,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.9,62.42,7.65,8.17,7.22,6.61,0.7,0.85,8.2,7.7,7.2,7.01,0.68,0.58,55C,003E,7.93,7.01,0.001292976,0.46,981.3188645,0.001310583,0.001905599,NA,NA,0.058007566,0.400696395,0.272564026,54.93496011,0.155103885,0.019005641,0.136098244,2.944170213,2.882412188,2.142581316
104,004E,4.474470892,-0.046742388,0.99584,55.39516429,0.11264972,12.30609524,0.282998149,7.21E-07,4,LS,0,73,4.2141,2.0648,63.4,4,1.21,0.89,0.85,1.3,NA,NA,NA,NA,NA,NA,47.56,63.4,9.09,8.79,7.62,7.77,1.31,1.45,8.15,8.49,6.7,7.14,1.68,1.38,55C,004E,8.63,7.3075,0.001289444,0.66125,1180.458865,0.001820733,0.00174915,1.0625,0.007310716,0.076622248,0.558939576,0.3966311,54.99853319,0.155577123,0.019512249,0.136064874,4.10789031,3.994262174,2.844784119
105,005E,5.133817638,-0.069030602,0.99578,55.19976041,0.110273016,12.10334795,0.349723667,1.06E-06,5,MG,0.01,56,4.9562,2.6314,34.32,15,0.92,0.63,0.75,0.53,1.04,0.78,0.77,0.86,0.9,0.75,57.24,72.18,10.03,9.34,8.5,8.54,3.48,4.15,9.78,9.75,7.81,7.86,4.26,3.43,55C,005E,9.725,8.1775,0.001748796,0.77375,1706.617153,0.001362227,0.001541881,0.793,0.044942204,0.079562982,0.608637957,0.458479946,54.74128047,0.153669707,0.019012327,0.13465738,4.519900469,4.380321848,3.186492359
106,006E,3.315743427,-0.037689084,0.99639,55.1326562,0.138884017,12.52511739,0.212182995,5.81E-07,6,MG,0,51,3.1762,1.7417,42.26,29,1.17,1.21,0.9,1.02,1.23,1.52,1.08,0.82,1.16,1.14,66.66,81.69,7.49,7.36,6.37,6.08,3.16,3.49,6.96,7.17,5.77,5.75,2.65,2.65,55C,006E,7.245,5.9925,0.001517238,0.62625,1071.977536,0.001338181,0.001624754,1.125,0.094717476,0.086438923,0.383017393,0.24903145,54.88362475,0.154722642,0.019611777,0.135110865,2.834837836,2.778760579,2.018067243
107,007E,3.090711105,-0.042292635,0.9998,55.11904737,0.09396983,11.38112237,0.1084598,6.52E-07,7,TD,0.25,116,2.8814,1.3692,46.19,5,0.97,1.58,1.35,1.19,1.13,NA,NA,NA,NA,NA,30.68,46.19,9.65,9.7,7.94,7.59,1.31,0.59,8.68,8.85,7.22,7.27,1.35,1.08,55C,007E,9.22,7.505,0.000888661,0.8575,981.634499,0.001540492,0.001394817,1.244,0.011740622,0.093004338,0.733812448,0.538228935,54.58081843,0.152490102,0.017808909,0.134681193,5.448514617,5.258546194,3.61256545
108,008E,5.150889867,-0.043034315,0.99286,47.97967853,12.89677225,23.35458233,19.72847066,6.64E-07,8,MG,0.03,65,4.9484,2.6717,37.5,24,1.39,0.98,1.32,1.39,1.45,1.16,1.48,1,1.16,1.16,54.64,73.15,9.7,9.55,8.02,7.68,1.84,1.39,9.36,9.36,7.95,8.24,0.79,0.77,55C,008E,9.4925,7.9725,0.00162945,0.76,1647.841935,0.001381625,0.001621333,1.249,0.067421649,0.080063208,0.407221043,0.303065863,47.67661267,0.108546429,0.025740687,0.082805742,4.917787524,3.757077287,30.89396753
109,009E,5.212629325,-0.046865231,0.99487,50.65172606,10.77107359,19.22434981,16.3723017,7.23E-07,9,TD,0.1,116,4.9406,2.4526,37.47,9,1.93,1.44,1.57,1.38,1.3,1.47,0.93,1.24,1.34,1.65,57.93,74.61,10.13,9.89,8.45,8.74,1.46,1.56,9.18,9.53,8.4,8.43,1.04,1.06,55C,009E,9.6825,8.505,0.001762142,0.58875,1748.686914,0.001422782,0.001402538,1.425,0.024806832,0.060805577,0.410077873,0.308231199,50.34349486,0.124020251,0.024208249,0.099812002,4.108502612,3.433611401,19.65543366
110,010E,1.599727712,-0.037084463,0.99132,55.122915,0.125420598,12.58149583,0.17482149,5.72E-07,10,TD,0.1,66,1.5456,0.7744,46.51,3,1.35,1.88,2.07,NA,NA,NA,NA,NA,NA,NA,33.96,46.51,6.89,6.7,5.97,5.65,1.11,0.84,6.25,6.77,5.07,5.35,0.77,0.69,55C,010E,6.6525,5.51,0.000709745,0.57125,514.5838058,0.001498687,0.001504906,1.766666667,0.009695943,0.085869974,0.8056493,0.50194367,54.62097133,0.15278455,0.01969087,0.133093679,6.053249891,5.851464652,3.448456942
111,011E,2.708598348,-0.022881955,0.99421,55.39607471,0.110775878,12.28431379,0.301227718,3.53E-07,11,TD,0.4,79,2.3715,1.0028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.65,53.4,7.65,7.79,6.63,6.37,0.81,0.73,8.18,7.99,6.41,7.07,0.6,0.65,55C,011E,7.9025,6.62,0.000711277,0.64125,833.7009084,0.001641716,0.001202829,NA,NA,0.081145207,0.496033046,0.336828917,55.0592458,0.156030219,0.019478561,0.136551659,3.632566971,3.543688784,2.508069766
112,012E,3.992564788,-0.073697653,0.99239,55.21609293,0.114022471,12.03428293,0.388420636,1.14E-06,12,TD,0.02,60,3.6941,1.4312,52.2,5,1.1,1.89,1.25,0.79,1.18,NA,NA,NA,NA,NA,28.7,52.2,9.94,10.04,8.61,8.41,0.77,0.71,9.81,9.9,7.63,8.28,1.2,1.45,55C,012E,9.9225,8.2325,0.000894649,0.845,1284.850882,0.001761216,0.001113904,1.242,0.009653358,0.08515999,1.270156585,0.966460979,54.24963195,0.150079904,0.018918613,0.131161291,9.683928662,9.126824687,6.104028445
113,013E,6.004013198,-0.051729078,0.99763,55.39890537,0.106382162,12.22704737,0.345216072,7.98E-07,13,MG,0,66,5.6972,2.9695,27.9,29,0.65,0.73,0.95,0.76,0.81,0.73,0.8,0.84,0.91,0.85,63.87,80.68,10.35,9.84,8.45,8.29,5.62,3.99,9.2,10,8.39,7.5,4.21,4.38,55C,013E,9.8475,8.1575,0.001975936,0.845,1955.950579,0.001394565,0.001518188,0.803,0.105552325,0.085808581,0.403662533,0.305983453,55.09292192,0.156282029,0.019390379,0.136891651,2.948773946,2.881516149,2.334111403
114,014E,4.405229116,-0.024811413,0.99101,50.16387745,11.23832139,19.97863368,17.11179023,3.83E-07,14,CC,0.3,103,4.0095,2.4952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.08,62.05,10,9.7,9.22,8.38,1.37,1.92,9.15,9.11,7.79,7.61,0.93,0.88,55C,014E,9.49,8.25,0.001135306,0.62,1397.057301,0.001083921,0.00178604,NA,NA,0.065331928,0.336972883,0.250752092,49.91312536,0.121402185,0.024558088,0.096844097,3.479539735,2.869912853,21.24199978
115,015E,4.404002807,-0.022511261,0.99886,55.122915,0.125420598,12.58149583,0.17482149,3.47E-07,15,CC,0.3,106,4.1566,2.5324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.21,64.52,9.27,8.73,7.32,8.19,0.83,0.97,9.41,8.97,7.94,7.48,1.36,0.97,55C,015E,9.095,7.7325,0.001320348,0.68125,1334.257873,0.001217306,0.001897984,NA,NA,0.074903793,0.262886184,0.191507426,54.93140757,0.155077476,0.01969087,0.135386605,1.941744406,1.909353378,1.696439662
116,016E,8.085975506,-0.067831018,0.99944,55.11904737,0.09396983,11.38112237,0.1084598,1.05E-06,16,PE,0.1,61,7.9137,4.1644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.3,90.48,10.05,10.12,8.19,7.98,1.23,1.41,9.91,10.02,8.02,8.09,1.62,1.2,55C,016E,10.025,8.07,0.002119578,0.9775,2273.324138,0.001649259,0.001831855,NA,NA,0.097506234,0.493441305,0.37739331,54.74165406,0.153672462,0.017808909,0.135863553,3.631888707,3.53603145,2.710871166
117,017E,6.688416841,-0.065385804,0.99979,47.58815432,13.13203806,23.94710975,20.07726565,1.01E-06,17,PE,0,62,6.4197,3.0585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.42,85.53,9.27,9.46,8.04,8.25,1.52,1.84,9.34,8.92,7.6,7.67,1.61,1.32,55C,017E,9.2475,7.89,0.001929626,0.67875,1828.551349,0.001838176,0.001672636,NA,NA,0.073398216,0.522476627,0.383791669,47.20436265,0.10598684,0.025877962,0.080108879,6.522081389,4.893442173,33.28207749
118,018E,6.538966187,-0.078280077,0.99858,55.12338231,0.157043059,12.53217143,0.208074978,1.21E-06,18,PE,0,59,6.4218,3.1791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.42,99.48,8.65,8.63,7.04,7.04,1.31,1.27,8.25,8.29,6.74,7.09,1.13,1.14,55C,018E,8.455,6.9775,0.002136129,0.73875,1777.882312,0.001823912,0.001788139,NA,NA,0.087374335,0.565041275,0.396874765,54.72650754,0.153560782,0.019614113,0.133946669,4.218404838,4.10146837,2.85108789
119,019E,4.650534713,-0.055284227,0.99988,55.22897154,0.115029337,11.91973626,0.508805368,8.52E-07,19,PE,0,60,4.3786,2.0616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.27,65.75,7.85,8.71,6.19,7.3,1.01,1.41,9.08,8.32,7.8,6.27,0.8,0.79,55C,019E,8.49,6.89,0.00136748,0.8,1184.816644,0.001955577,0.001740016,NA,NA,0.094228504,0.623357003,0.438739963,54.79023158,0.15403111,0.018750087,0.135281024,4.607867283,4.470563745,3.071280175
120,020E,2.847005758,-0.05224454,0.99756,55.39943,0.105332018,12.21283093,0.355515742,8.06E-07,20,PE,0,78,2.5918,1.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.62,56.22,6.97,6.76,5.85,5.46,1.02,0.94,6.77,6.71,5.61,5.47,0.8,0.63,55C,020E,6.8025,5.5975,0.000889448,0.6025,650.3811578,0.002196866,0.001788182,NA,NA,0.088570379,0.905684418,0.570594626,54.82883537,0.154316632,0.019368319,0.134948313,6.711343005,6.463954432,3.827201686
121,021E,4.516177389,-0.083315468,0.99888,54.67952567,3.520863418,13.06800556,5.049207406,1.28E-06,21,LS,0,62,4.3468,2.1874,27.98,14,1.64,1.39,1.42,2.02,1.16,1.25,1.38,1.75,1.21,1.2,47.83,63.81,9.62,9.4,8.14,8.01,0.9,1.25,9.46,8.99,8.42,7.79,2.12,1.43,55C,021E,9.3675,8.09,0.001407583,0.63875,1399.832772,0.001542613,0.001562615,1.442,0.053414187,0.068187884,0.91265821,0.674740101,54.00478557,0.148319052,0.02002212,0.128296933,7.113640144,6.709430235,6.02450424
122,022E,1.807948582,-0.054082751,0.99862,55.12986677,0.152098024,12.4996798,0.228649191,8.34E-07,22,LS,0,57,1.6246,0.8482,32.01,19,0.64,0.51,1.01,0.59,0.72,0.66,1.06,0.58,0.96,0.95,51.49,68.42,6,6.25,4.99,5.04,2.94,2.8,5.55,5.35,4.4,4.37,0.97,1.04,55C,022E,5.7875,4.7,0.00093619,0.54375,572.9346477,0.001355128,0.001480448,0.768,0.102559743,0.093952484,0.890741095,0.517622919,54.61224385,0.152720508,0.019569334,0.133151175,6.689697607,6.461215461,3.536209981
123,023E,3.388618584,-0.032643144,0.99963,55.11831039,0.093573297,11.3848987,0.112724523,5.03E-07,23,MG,0,46,3.2154,1.6425,17.15,8,1.04,0.95,1.17,1.45,1.33,1.18,1.16,1.7,1.27,1.44,40.34,53.88,9.24,9.27,7.91,7.92,4.14,3.57,8.96,9.66,7.37,7.64,3.7,3.41,55C,023E,9.2825,7.71,0.001176388,0.78625,1160.63994,0.001355201,0.001415168,1.269,0.050252874,0.084702397,0.427856113,0.314881196,54.80342919,0.154128672,0.01781419,0.136314482,3.138742908,3.066283149,2.36311376
124,024E,2.86911214,-0.053351444,0.9989,55.11904737,0.09396983,11.38112237,0.1084598,8.23E-07,24,LS,0.3,55,2.6241,1.2434,25.81,19,1.46,0.63,1.06,0.94,1.03,1.08,1.06,1.09,1.25,0.97,40.35,68.65,6.88,6.92,5.84,5.7,1.33,1.36,6.57,6.89,5.83,5.65,1.71,2.27,55C,024E,6.815,5.755,0.000863892,0.53,797.0990116,0.001732156,0.001559907,1.057,0.108018896,0.077769626,0.952233355,0.60047209,54.51857528,0.152034622,0.017808909,0.134225713,7.094269314,6.823764161,3.964163277
125,025E,2.349599181,-0.029608874,0.9996,55.23140667,0.114965266,11.89134086,0.538840945,4.57E-07,25,LS,0,58,2.1511,1.0863,24.09,14,1.04,0.77,1.22,1.45,1.03,0.83,1.26,1.62,1.12,1.08,36.52,48.29,7.79,7.87,5.98,6.44,1.68,1.86,7.28,7.43,6.14,5.88,1.79,1.53,55C,025E,7.5925,6.11,0.000871095,0.74125,695.9320141,0.001530035,0.001560928,1.142,0.076543168,0.097629239,0.524098514,0.348836431,54.88257024,0.154714819,0.018707599,0.13600722,3.853460962,3.75704975,2.566141478
